subject,relation,object,cat
Lettuce Tuna Salad,Ingredient,Black Olive,A2
莴苣金枪鱼沙拉,食谱的食材构成,橄榄油,D
Lettuce Tuna Salad,Ingredient,Olive Oil,D
莴苣金枪鱼沙拉,食谱的食材构成,柠檬汁,D
Lettuce Tuna Salad,Ingredient,Lemon Juice,D
莴苣金枪鱼沙拉,食谱的食材构成,盐,D
Lettuce Tuna Salad,Ingredient,Salt,D
莴苣金枪鱼沙拉,食谱的食材构成,黑胡椒,D
Lettuce Tuna Salad,Ingredient,Black Pepper,D
牛油果鸡蛋吐司,食谱的功效,补益脾胃,食谱的功效
Avocado Egg Toast,Health Benefit,Tonify Spleen and Stomach,Health Benefit
牛油果鸡蛋吐司,食谱的功效,安神,食谱的功效
Avocado Egg Toast,Health Benefit,Calm the Mind,Health Benefit
牛油果鸡蛋吐司,食谱的功效,定心,食谱的功效
Avocado Egg Toast,Health Benefit,Stabilize the Heart,Health Benefit
牛油果鸡蛋吐司,食谱的功效,补益心气,食谱的功效
Avocado Egg Toast,Health Benefit,Tonify Heart Qi,Health Benefit
牛油果鸡蛋吐司,食谱的功效,滋养脏腑,食谱的功效
Avocado Egg Toast,Health Benefit,Nourish the Organs,Health Benefit
牛油果鸡蛋吐司,食谱的功效,益气养血,食谱的功效
Avocado Egg Toast,Health Benefit,Tonify Qi and Nourish Blood,Health Benefit
牛油果鸡蛋吐司,食谱的功效,滋阴润肠,食谱的功效
Avocado Egg Toast,Health Benefit,Nourish Yin and Moisten the Intestines,Health Benefit
牛油果鸡蛋吐司,食谱的功效,健脾和胃,食谱的功效
Avocado Egg Toast,Health Benefit,Strengthen Spleen and Harmonize Stomach,Health Benefit
牛油果鸡蛋吐司,食谱的功效,滋阴润燥,食谱的功效
Avocado Egg Toast,Health Benefit,Nourish Yin and Moisten Dryness,Health Benefit
牛油果鸡蛋吐司,食谱的功效,补气养血,食谱的功效
Avocado Egg Toast,Health Benefit,Tonify Qi and Nourish Blood,Health Benefit
牛油果鸡蛋吐司,食谱的功效,安神定心,食谱的功效
Avocado Egg Toast,Health Benefit,Calm the Mind and Stabilize the Heart,Health Benefit
牛油果鸡蛋吐司,食谱的食材构成,全麦吐司,A1
Avocado Egg Toast,Ingredient,Whole Wheat Toast,A1
牛油果鸡蛋吐司,食谱的食材构成,牛油果,A3
Avocado Egg Toast,Ingredient,Avocado,A3
牛油果鸡蛋吐司,食谱的食材构成,鸡蛋,B2
Avocado Egg Toast,Ingredient,Egg,B2
牛油果鸡蛋吐司,食谱的食材构成,盐,D
Avocado Egg Toast,Ingredient,Salt,D
牛油果鸡蛋吐司,食谱的食材构成,黑胡椒,D
Avocado Egg Toast,Ingredient,Black Pepper,D
柠檬黑椒烤鲑鱼,食谱的功效,滋阴,食谱的功效
Lemon Black Pepper Roasted Salmon,Health Benefit,Nourish Yin,Health Benefit
柠檬黑椒烤鲑鱼,食谱的功效,润燥,食谱的功效
Lemon Black Pepper Roasted Salmon,Health Benefit,Moisten Dryness,Health Benefit
柠檬黑椒烤鲑鱼,食谱的功效,补血,食谱的功效
Lemon Black Pepper Roasted Salmon,Health Benefit,Replenish Blood,Health Benefit
柠檬黑椒烤鲑鱼,食谱的功效,养心,食谱的功效
Lemon Black Pepper Roasted Salmon,Health Benefit,Nourish Heart,Health Benefit
柠檬黑椒烤鲑鱼,食谱的食材构成,鲑鱼柳,B3
Lemon Black Pepper Roasted Salmon,Ingredient,Salmon Fillet,B3
柠檬黑椒烤鲑鱼,食谱的食材构成,柠檬,A3
Lemon Black Pepper Roasted Salmon,Ingredient,Lemon,A3
柠檬黑椒烤鲑鱼,食谱的食材构成,黑胡椒,D
Lemon Black Pepper Roasted Salmon,Ingredient,Black Pepper,D
柠檬黑椒烤鲑鱼,食谱的食材构成,橄榄油,D
Lemon Black Pepper Roasted Salmon,Ingredient,Olive Oil,D
柠檬黑椒烤鲑鱼,食谱的食材构成,盐,D
Lemon Black Pepper Roasted Salmon,Ingredient,Salt,D
地中海烤茄子,食谱的功效,养血,食谱的功效
Mediterranean Roasted Eggplant,Health Benefit,Nourish Blood,Health Benefit
地中海烤茄子,食谱的功效,安神,食谱的功效
Mediterranean Roasted Eggplant,Health Benefit,Calm Mind,Health Benefit
地中海烤茄子,食谱的功效,清热,食谱的功效
Mediterranean Roasted Eggplant,Health Benefit,Clear Heat,Health Benefit
地中海烤茄子,食谱的功效,解烦,食谱的功效
Mediterranean Roasted Eggplant,Health Benefit,Relieve Irritability,Health Benefit
地中海烤茄子,食谱的功效,利湿,食谱的功效
Mediterranean Roasted Eggplant,Health Benefit,Remove Dampness,Health Benefit
地中海烤茄子,食谱的功效,补血,食谱的功效
Mediterranean Roasted Eggplant,Health Benefit,Replenish Blood,Health Benefit
地中海烤茄子,食谱的功效,养颜,食谱的功效
Mediterranean Roasted Eggplant,Health Benefit,Beautify Face,Health Benefit
地中海烤茄子,食谱的功效,纾解压力,食谱的功效
Mediterranean Roasted Eggplant,Health Benefit,Relieve Stress,Health Benefit
地中海烤茄子,食谱的功效,助消化,食谱的功效
Mediterranean Roasted Eggplant,Health Benefit,Promote Digestion,Health Benefit
地中海烤茄子,食谱的食材构成,茄子,A2
Mediterranean Roasted Eggplant,Ingredient,Eggplant,A2
地中海烤茄子,食谱的食材构成,番茄,A2
Mediterranean Roasted Eggplant,Ingredient,Tomato,A2
地中海烤茄子,食谱的食材构成,洋葱,A2
Mediterranean Roasted Eggplant,Ingredient,Onion,A2
地中海烤茄子,食谱的食材构成,橄榄油,D
Mediterranean Roasted Eggplant,Ingredient,Olive Oil,D
地中海烤茄子,食谱的食材构成,盐,D
Mediterranean Roasted Eggplant,Ingredient,Salt,D
地中海烤茄子,食谱的食材构成,干牛至,D
Mediterranean Roasted Eggplant,Ingredient,Dried Oregano,D
地中海烤茄子,食谱的食材构成,黑胡椒,D
Mediterranean Roasted Eggplant,Ingredient,Black Pepper,D
菠菜羊奶酪沙拉,食谱的功效,补血,食谱的功效
Spinach Goat Cheese Salad,Health Benefit,Replenish Blood,Health Benefit
菠菜羊奶酪沙拉,食谱的功效,养心,食谱的功效
Spinach Goat Cheese Salad,Health Benefit,Nourish Heart,Health Benefit
菠菜羊奶酪沙拉,食谱的功效,安神,食谱的功效
Spinach Goat Cheese Salad,Health Benefit,Calm Mind,Health Benefit
菠菜羊奶酪沙拉,食谱的功效,定志,食谱的功效
Spinach Goat Cheese Salad,Health Benefit,Stabilize Will,Health Benefit
菠菜羊奶酪沙拉,食谱的食材构成,菠菜叶,A2
Spinach Goat Cheese Salad,Ingredient,Spinach Leaves,A2
菠菜羊奶酪沙拉,食谱的食材构成,羊奶酪,B2
Spinach Goat Cheese Salad,Ingredient,Goat Cheese,B2
菠菜羊奶酪沙拉,食谱的食材构成,核桃,A3
Spinach Goat Cheese Salad,Ingredient,Walnut,A3
菠菜羊奶酪沙拉,食谱的食材构成,橄榄油,D
Spinach Goat Cheese Salad,Ingredient,Olive Oil,D
菠菜羊奶酪沙拉,食谱的食材构成,白醋,D
Spinach Goat Cheese Salad,Ingredient,White Vinegar,D
菠菜羊奶酪沙拉,食谱的食材构成,盐,D
Spinach Goat Cheese Salad,Ingredient,Salt,D
菠菜羊奶酪沙拉,食谱的食材构成,黑胡椒,D
Spinach Goat Cheese Salad,Ingredient,Black Pepper,D
扁豆牛肉浓汤,食谱的功效,健脾,食谱的功效
Lentil Beef Soup,Health Benefit,Strengthen Spleen,Health Benefit
扁豆牛肉浓汤,食谱的功效,养血,食谱的功效
Lentil Beef Soup,Health Benefit,Nourish Blood,Health Benefit
扁豆牛肉浓汤,食谱的功效,安神,食谱的功效
Lentil Beef Soup,Health Benefit,Calm Mind,Health Benefit
扁豆牛肉浓汤,食谱的功效,除烦,食谱的功效
Lentil Beef Soup,Health Benefit,Relieve Irritability,Health Benefit
扁豆牛肉浓汤,食谱的食材构成,牛肉块,B1
Lentil Beef Soup,Ingredient,Beef Chunks,B1
扁豆牛肉浓汤,食谱的食材构成,扁豆,A1
Lentil Beef Soup,Ingredient,Lentils,A1
扁豆牛肉浓汤,食谱的食材构成,洋葱,A2
Lentil Beef Soup,Ingredient,Onion,A2
扁豆牛肉浓汤,食谱的食材构成,番茄泥,A2
Lentil Beef Soup,Ingredient,Tomato Paste,A2
扁豆牛肉浓汤,食谱的食材构成,清水,D
Lentil Beef Soup,Ingredient,Water,D
扁豆牛肉浓汤,食谱的食材构成,盐,D
Lentil Beef Soup,Ingredient,Salt,D
扁豆牛肉浓汤,食谱的食材构成,黑胡椒,D
Lentil Beef Soup,Ingredient,Black Pepper,D
扁豆牛肉浓汤,食谱的食材构成,孜然粉,D
Lentil Beef Soup,Ingredient,Cumin Powder,D
烤甜椒鸡肉卷,食谱的功效,行气,食谱的功效
Roasted Bell Pepper Chicken Wrap,Health Benefit,Promote Qi Flow,Health Benefit
烤甜椒鸡肉卷,食谱的功效,活血,食谱的功效
Roasted Bell Pepper Chicken Wrap,Health Benefit,Promote Blood Circulation,Health Benefit
烤甜椒鸡肉卷,食谱的功效,安神,食谱的功效
Roasted Bell Pepper Chicken Wrap,Health Benefit,Calm Mind,Health Benefit
烤甜椒鸡肉卷,食谱的功效,定心,食谱的功效
Roasted Bell Pepper Chicken Wrap,Health Benefit,Stabilize Heart,Health Benefit
烤甜椒鸡肉卷,食谱的食材构成,鸡胸肉,B1
Roasted Bell Pepper Chicken Wrap,Ingredient,Chicken Breast,B1
烤甜椒鸡肉卷,食谱的食材构成,红甜椒,A2
Roasted Bell Pepper Chicken Wrap,Ingredient,Red Bell Pepper,A2
烤甜椒鸡肉卷,食谱的食材构成,黄甜椒,A2
Roasted Bell Pepper Chicken Wrap,Ingredient,Yellow Bell Pepper,A2
烤甜椒鸡肉卷,食谱的食材构成,全麦卷饼,C
Roasted Bell Pepper Chicken Wrap,Ingredient,Whole Wheat Wrap,C
烤甜椒鸡肉卷,食谱的食材构成,橄榄油,D
Roasted Bell Pepper Chicken Wrap,Ingredient,Olive Oil,D
烤甜椒鸡肉卷,食谱的食材构成,盐,D
Roasted Bell Pepper Chicken Wrap,Ingredient,Salt,D
烤甜椒鸡肉卷,食谱的食材构成,黑胡椒,D
Roasted Bell Pepper Chicken Wrap,Ingredient,Black Pepper,D
燕麦香蕉蛋奶昔,食谱的功效,补虚,食谱的功效
Oatmeal Banana Milkshake,Health Benefit,Tonify Deficiency,Health Benefit
燕麦香蕉蛋奶昔,食谱的功效,益气,食谱的功效
Oatmeal Banana Milkshake,Health Benefit,Replenish Qi,Health Benefit
燕麦香蕉蛋奶昔,食谱的功效,健脾,食谱的功效
Oatmeal Banana Milkshake,Health Benefit,Strengthen Spleen,Health Benefit
燕麦香蕉蛋奶昔,食谱的功效,安神,食谱的功效
Oatmeal Banana Milkshake,Health Benefit,Calm Mind,Health Benefit
燕麦香蕉蛋奶昔,食谱的食材构成,燕麦片,A1
Oatmeal Banana Milkshake,Ingredient,Oatmeal,A1
燕麦香蕉蛋奶昔,食谱的食材构成,香蕉,A3
Oatmeal Banana Milkshake,Ingredient,Banana,A3
燕麦香蕉蛋奶昔,食谱的食材构成,牛奶,B2
Oatmeal Banana Milkshake,Ingredient,Milk,B2
燕麦香蕉蛋奶昔,食谱的食材构成,蜂蜜,D
Oatmeal Banana Milkshake,Ingredient,Honey,D
牛排配迷迭香土豆,食谱的功效,补益气血,食谱的功效
Steak with Rosemary Potatoes,Health Benefit,Nourish Qi and Blood,Health Benefit
牛排配迷迭香土豆,食谱的功效,安神,食谱的功效
Steak with Rosemary Potatoes,Health Benefit,Calm Mind,Health Benefit
牛排配迷迭香土豆,食谱的功效,定志,食谱的功效
Steak with Rosemary Potatoes,Health Benefit,Settle Will,Health Benefit
牛排配迷迭香土豆,食谱的食材构成,牛排,B1
Steak with Rosemary Potatoes,Ingredient,Steak,B1
牛排配迷迭香土豆,食谱的食材构成,土豆,A1
Steak with Rosemary Potatoes,Ingredient,Potato,A1
牛排配迷迭香土豆,食谱的食材构成,迷迭香,D
Steak with Rosemary Potatoes,Ingredient,Rosemary,D
牛排配迷迭香土豆,食谱的食材构成,橄榄油,D
Steak with Rosemary Potatoes,Ingredient,Olive Oil,D
牛排配迷迭香土豆,食谱的食材构成,盐,D
Steak with Rosemary Potatoes,Ingredient,Salt,D
牛排配迷迭香土豆,食谱的食材构成,黑胡椒,D
Steak with Rosemary Potatoes,Ingredient,Black Pepper,D
凯撒鸡肉沙拉,食谱的功效,补中,食谱的功效
Caesar Chicken Salad,Health Benefit,Tonify Middle,Health Benefit
凯撒鸡肉沙拉,食谱的功效,益气,食谱的功效
Caesar Chicken Salad,Health Benefit,Replenish Qi,Health Benefit
凯撒鸡肉沙拉,食谱的功效,镇静,食谱的功效
Caesar Chicken Salad,Health Benefit,Soothe Nerves,Health Benefit
凯撒鸡肉沙拉,食谱的功效,安神,食谱的功效
Caesar Chicken Salad,Health Benefit,Calm Mind,Health Benefit
凯撒鸡肉沙拉,食谱的食材构成,鸡胸肉,B1
Caesar Chicken Salad,Ingredient,Chicken Breast,B1
凯撒鸡肉沙拉,食谱的食材构成,罗马生菜,A2
Caesar Chicken Salad,Ingredient,Romaine Lettuce,A2
凯撒鸡肉沙拉,食谱的食材构成,面包块,C
Caesar Chicken Salad,Ingredient,Bread Croutons,C
凯撒鸡肉沙拉,食谱的食材构成,凯撒沙拉酱,C
Caesar Chicken Salad,Ingredient,Caesar Dressing,C
凯撒鸡肉沙拉,食谱的食材构成,帕玛森芝士,B2
Caesar Chicken Salad,Ingredient,Parmesan Cheese,B2
凯撒鸡肉沙拉,食谱的食材构成,黑胡椒,D
Caesar Chicken Salad,Ingredient,Black Pepper,D
凯撒鸡肉沙拉,食谱的食材构成,盐,D
Caesar Chicken Salad,Ingredient,Salt,D
南瓜烤虾仁,食谱的功效,健脾,食谱的功效
Roasted Pumpkin with Shrimp,Health Benefit,Strengthen Spleen,Health Benefit
南瓜烤虾仁,食谱的功效,补中,食谱的功效
Roasted Pumpkin with Shrimp,Health Benefit,Tonify Middle,Health Benefit
南瓜烤虾仁,食谱的功效,安神,食谱的功效
Roasted Pumpkin with Shrimp,Health Benefit,Calm Mind,Health Benefit
南瓜烤虾仁,食谱的功效,定心,食谱的功效
Roasted Pumpkin with Shrimp,Health Benefit,Settle Heart,Health Benefit
南瓜烤虾仁,食谱的食材构成,南瓜,A2
Roasted Pumpkin with Shrimp,Ingredient,Pumpkin,A2
南瓜烤虾仁,食谱的食材构成,虾仁,B3
Roasted Pumpkin with Shrimp,Ingredient,Shrimp,B3
南瓜烤虾仁,食谱的食材构成,橄榄油,D
Roasted Pumpkin with Shrimp,Ingredient,Olive Oil,D
南瓜烤虾仁,食谱的食材构成,盐,D
Roasted Pumpkin with Shrimp,Ingredient,Salt,D
南瓜烤虾仁,食谱的食材构成,黑胡椒,D
Roasted Pumpkin with Shrimp,Ingredient,Black Pepper,D
南瓜烤虾仁,食谱的食材构成,蒜粉,D
Roasted Pumpkin with Shrimp,Ingredient,Garlic Powder,D
牛油果黑豆沙拉,食谱的功效,益气,食谱的功效
Avocado Black Bean Salad,Health Benefit,Replenish Qi,Health Benefit
牛油果黑豆沙拉,食谱的功效,和中,食谱的功效
Avocado Black Bean Salad,Health Benefit,Harmonize Middle,Health Benefit
牛油果黑豆沙拉,食谱的功效,安神,食谱的功效
Avocado Black Bean Salad,Health Benefit,Calm Mind,Health Benefit
牛油果黑豆沙拉,食谱的功效,解烦,食谱的功效
Avocado Black Bean Salad,Health Benefit,Relieve Irritability,Health Benefit
牛油果黑豆沙拉,食谱的食材构成,牛油果,A3
Avocado Black Bean Salad,Ingredient,Avocado,A3
牛油果黑豆沙拉,食谱的食材构成,黑豆,A1
Avocado Black Bean Salad,Ingredient,Black Bean,A1
牛油果黑豆沙拉,食谱的食材构成,小番茄,A2
Avocado Black Bean Salad,Ingredient,Cherry Tomato,A2
牛油果黑豆沙拉,食谱的食材构成,香菜,A2
Avocado Black Bean Salad,Ingredient,Cilantro,A2
牛油果黑豆沙拉,食谱的食材构成,橄榄油,D
Avocado Black Bean Salad,Ingredient,Olive Oil,D
牛油果黑豆沙拉,食谱的食材构成,柠檬汁,D
Avocado Black Bean Salad,Ingredient,Lemon Juice,D
牛油果黑豆沙拉,食谱的食材构成,盐,D
Avocado Black Bean Salad,Ingredient,Salt,D
牛油果黑豆沙拉,食谱的食材构成,黑胡椒,D
Avocado Black Bean Salad,Ingredient,Black Pepper,D
甜菜根苹果沙拉,食谱的功效,养血,食谱的功效
Beetroot Apple Salad,Health Benefit,Nourish Blood,Health Benefit
甜菜根苹果沙拉,食谱的功效,安神,食谱的功效
Beetroot Apple Salad,Health Benefit,Calm the Mind,Health Benefit
甜菜根苹果沙拉,食谱的功效,清热,食谱的功效
Beetroot Apple Salad,Health Benefit,Clear Heat,Health Benefit
甜菜根苹果沙拉,食谱的功效,生津,食谱的功效
Beetroot Apple Salad,Health Benefit,Promote Saliva Production,Health Benefit
甜菜根苹果沙拉,食谱的功效,活血,食谱的功效
Beetroot Apple Salad,Health Benefit,Promote Blood Circulation,Health Benefit
甜菜根苹果沙拉,食谱的功效,补血,食谱的功效
Beetroot Apple Salad,Health Benefit,Replenish Blood,Health Benefit
甜菜根苹果沙拉,食谱的功效,解郁,食谱的功效
Beetroot Apple Salad,Health Benefit,Relieve Depression,Health Benefit
甜菜根苹果沙拉,食谱的功效,改善头痛,食谱的功效
Beetroot Apple Salad,Health Benefit,Relieve Headache,Health Benefit
甜菜根苹果沙拉,食谱的食材构成,甜菜根,A2
Beetroot Apple Salad,Ingredient,Beetroot,A2
甜菜根苹果沙拉,食谱的食材构成,苹果,A3
Beetroot Apple Salad,Ingredient,Apple,A3
甜菜根苹果沙拉,食谱的食材构成,生菜,A2
Beetroot Apple Salad,Ingredient,Lettuce,A2
甜菜根苹果沙拉,食谱的食材构成,无糖酸奶,B2
Beetroot Apple Salad,Ingredient,Unsweetened Yogurt,B2
甜菜根苹果沙拉,食谱的食材构成,柠檬汁,D
Beetroot Apple Salad,Ingredient,Lemon Juice,D
甜菜根苹果沙拉,食谱的食材构成,盐,D
Beetroot Apple Salad,Ingredient,Salt,D
甜菜根苹果沙拉,食谱的食材构成,黑胡椒,D
Beetroot Apple Salad,Ingredient,Black Pepper,D
香煎三文鱼配柠檬酱,食谱的功效,滋阴,食谱的功效
Pan-Seared Salmon with Lemon Sauce,Health Benefit,Nourish Yin,Health Benefit
香煎三文鱼配柠檬酱,食谱的功效,补虚,食谱的功效
Pan-Seared Salmon with Lemon Sauce,Health Benefit,Tonify Deficiency,Health Benefit
香煎三文鱼配柠檬酱,食谱的功效,安神,食谱的功效
Pan-Seared Salmon with Lemon Sauce,Health Benefit,Calm the Mind,Health Benefit
香煎三文鱼配柠檬酱,食谱的功效,定心,食谱的功效
Pan-Seared Salmon with Lemon Sauce,Health Benefit,Settle the Heart,Health Benefit
香煎三文鱼配柠檬酱,食谱的食材构成,三文鱼柳,B3
Pan-Seared Salmon with Lemon Sauce,Ingredient,Salmon Fillet,B3
香煎三文鱼配柠檬酱,食谱的食材构成,柠檬汁,D
Pan-Seared Salmon with Lemon Sauce,Ingredient,Lemon Juice,D
香煎三文鱼配柠檬酱,食谱的食材构成,黄油,B2
Pan-Seared Salmon with Lemon Sauce,Ingredient,Butter,B2
香煎三文鱼配柠檬酱,食谱的食材构成,盐,D
Pan-Seared Salmon with Lemon Sauce,Ingredient,Salt,D
香煎三文鱼配柠檬酱,食谱的食材构成,黑胡椒,D
Pan-Seared Salmon with Lemon Sauce,Ingredient,Black Pepper,D
什锦烤蔬菜,食谱的功效,清热,食谱的功效
Assorted Roasted Vegetables,Health Benefit,Clear Heat,Health Benefit
什锦烤蔬菜,食谱的功效,除烦,食谱的功效
Assorted Roasted Vegetables,Health Benefit,Relieve Irritability,Health Benefit
什锦烤蔬菜,食谱的功效,安神,食谱的功效
Assorted Roasted Vegetables,Health Benefit,Calm the Mind,Health Benefit
什锦烤蔬菜,食谱的功效,定志,食谱的功效
Assorted Roasted Vegetables,Health Benefit,Settle the Will,Health Benefit
什锦烤蔬菜,食谱的功效,明目,食谱的功效
Assorted Roasted Vegetables,Health Benefit,Improve Vision,Health Benefit
什锦烤蔬菜,食谱的功效,补益肝肾,食谱的功效
Assorted Roasted Vegetables,Health Benefit,Nourish Liver and Kidney,Health Benefit
什锦烤蔬菜,食谱的功效,增强机体活力,食谱的功效
Assorted Roasted Vegetables,Health Benefit,Boost Vitality,Health Benefit
什锦烤蔬菜,食谱的食材构成,西葫芦,A2
Assorted Roasted Vegetables,Ingredient,Zucchini,A2
什锦烤蔬菜,食谱的食材构成,茄子,A2
Assorted Roasted Vegetables,Ingredient,Eggplant,A2
什锦烤蔬菜,食谱的食材构成,彩椒,A2
Assorted Roasted Vegetables,Ingredient,Bell Pepper,A2
什锦烤蔬菜,食谱的食材构成,洋葱,A2
Assorted Roasted Vegetables,Ingredient,Onion,A2
什锦烤蔬菜,食谱的食材构成,橄榄油,D
Assorted Roasted Vegetables,Ingredient,Olive Oil,D
什锦烤蔬菜,食谱的食材构成,盐,D
Assorted Roasted Vegetables,Ingredient,Salt,D
什锦烤蔬菜,食谱的食材构成,黑胡椒,D
Assorted Roasted Vegetables,Ingredient,Black Pepper,D
什锦烤蔬菜,食谱的食材构成,迷迭香,D
Assorted Roasted Vegetables,Ingredient,Rosemary,D
玉米浓汤,食谱的功效,益气,食谱的功效
Corn Cream Soup,Health Benefit,Replenish Qi,Health Benefit
玉米浓汤,食谱的功效,健脾,食谱的功效
Corn Cream Soup,Health Benefit,Strengthen Spleen,Health Benefit
玉米浓汤,食谱的功效,安神,食谱的功效
Corn Cream Soup,Health Benefit,Calm the Mind,Health Benefit
玉米浓汤,食谱的功效,定心,食谱的功效
