subject,relation,object,cat
圆肉麦片粥,功效,养心安神,功效
圆肉麦片粥,功效,缓解疲劳,功效
圆肉麦片粥,食材构成,麦片,A1
圆肉麦片粥,食材构成,圆肉（龙眼肉）,A3
圆肉麦片粥,食材构成,清水,D
圆肉麦片粥,食材构成,冰糖,D
莲藕花生排骨汤,功效,健脾开胃,功效
莲藕花生排骨汤,功效,养血安神,功效
莲藕花生排骨汤,食材构成,排骨,B1
莲藕花生排骨汤,食材构成,莲藕,A2
莲藕花生排骨汤,食材构成,花生,A3
莲藕花生排骨汤,食材构成,生姜,D
莲藕花生排骨汤,食材构成,清水,D
莲藕花生排骨汤,食材构成,盐,D
芹菜炒百合,功效,清热降压,功效
芹菜炒百合,功效,宁神除烦,功效
芹菜炒百合,食材构成,芹菜,A2
芹菜炒百合,食材构成,鲜百合,A2
芹菜炒百合,食材构成,食用油,D
芹菜炒百合,食材构成,盐,D
芹菜炒百合,食材构成,生抽,D
黄花菜木耳炒蛋,功效,安神解郁,功效
黄花菜木耳炒蛋,功效,补气血,功效
黄花菜木耳炒蛋,食材构成,干黄花菜,A2
黄花菜木耳炒蛋,食材构成,干木耳,A2
黄花菜木耳炒蛋,食材构成,鸡蛋,B2
黄花菜木耳炒蛋,食材构成,食用油,D
黄花菜木耳炒蛋,食材构成,盐,D
小米南瓜粥,功效,健脾和胃,功效
小米南瓜粥,功效,安神补虚,功效
小米南瓜粥,食材构成,小米,A1
小米南瓜粥,食材构成,南瓜,A2
小米南瓜粥,食材构成,清水,D
小米南瓜粥,食材构成,盐,D
山药红枣排骨汤,功效,健脾补肾,功效
山药红枣排骨汤,功效,养血安神,功效
山药红枣排骨汤,食材构成,排骨,B1
山药红枣排骨汤,食材构成,山药,A1
山药红枣排骨汤,食材构成,红枣,A3
山药红枣排骨汤,食材构成,生姜,D
山药红枣排骨汤,食材构成,清水,D
山药红枣排骨汤,食材构成,盐,D
菠菜鸡蛋汤,功效,补血养心,功效
菠菜鸡蛋汤,功效,缓解疲劳,功效
菠菜鸡蛋汤,食材构成,菠菜,A2
菠菜鸡蛋汤,食材构成,鸡蛋,B2
菠菜鸡蛋汤,食材构成,清水,D
菠菜鸡蛋汤,食材构成,盐,D
菠菜鸡蛋汤,食材构成,葱花,A2
西芹百合炒虾仁,功效,补气养血,功效
西芹百合炒虾仁,功效,安神解郁,功效
西芹百合炒虾仁,食材构成,虾仁,B3
西芹百合炒虾仁,食材构成,西芹,A2
西芹百合炒虾仁,食材构成,鲜百合,A2
西芹百合炒虾仁,食材构成,食用油,D
西芹百合炒虾仁,食材构成,盐,D
西芹百合炒虾仁,食材构成,料酒,D
莲子百合薏米粥,功效,健脾祛湿,功效
莲子百合薏米粥,功效,清心安神,功效
莲子百合薏米粥,食材构成,薏米,A1
莲子百合薏米粥,食材构成,干莲子,A3
莲子百合薏米粥,食材构成,干百合,A2
莲子百合薏米粥,食材构成,清水,D
木耳红枣蒸鸡,功效,滋阴养血,功效
木耳红枣蒸鸡,功效,补益气神,功效
木耳红枣蒸鸡,食材构成,鸡腿肉,B1
木耳红枣蒸鸡,食材构成,干木耳,A2
木耳红枣蒸鸡,食材构成,红枣,A3
木耳红枣蒸鸡,食材构成,生抽,D
木耳红枣蒸鸡,食材构成,盐,D
木耳红枣蒸鸡,食材构成,生姜丝,D
当归红枣鸡汤,功效,补血调经,功效
当归红枣鸡汤,功效,养心安神,功效
当归红枣鸡汤,食材构成,鸡腿肉,B1
当归红枣鸡汤,食材构成,当归,D
当归红枣鸡汤,食材构成,红枣,A3
当归红枣鸡汤,食材构成,生姜,D
当归红枣鸡汤,食材构成,清水,D
当归红枣鸡汤,食材构成,盐,D
枸杞虾仁炒蛋,功效,补肾益精,功效
枸杞虾仁炒蛋,功效,滋养安神,功效
枸杞虾仁炒蛋,食材构成,虾仁,B3
枸杞虾仁炒蛋,食材构成,鸡蛋,B2
枸杞虾仁炒蛋,食材构成,枸杞,A3
枸杞虾仁炒蛋,食材构成,食用油,D
枸杞虾仁炒蛋,食材构成,盐,D
香菇豆腐汤,功效,益气健脾,功效
香菇豆腐汤,功效,宁神安稳,功效
香菇豆腐汤,食材构成,香菇,A2
香菇豆腐汤,食材构成,嫩豆腐,A1
香菇豆腐汤,食材构成,生姜,D
香菇豆腐汤,食材构成,清水,D
香菇豆腐汤,食材构成,盐,D
黄芪炖牛肉,功效,补气健脾,功效
黄芪炖牛肉,功效,增强体力,功效
黄芪炖牛肉,食材构成,牛肉,B1
黄芪炖牛肉,食材构成,黄芪,D
黄芪炖牛肉,食材构成,生姜,D
黄芪炖牛肉,食材构成,清水,D
黄芪炖牛肉,食材构成,盐,D
银耳枸杞蒸蛋,功效,滋阴润燥,功效
银耳枸杞蒸蛋,功效,安神助眠,功效
银耳枸杞蒸蛋,食材构成,鸡蛋,B2
银耳枸杞蒸蛋,食材构成,干银耳,A2
银耳枸杞蒸蛋,食材构成,枸杞,A3
银耳枸杞蒸蛋,食材构成,温水,D
银耳枸杞蒸蛋,食材构成,盐,D
参芪鸡丝粥,功效,益气健脾,功效
参芪鸡丝粥,功效,扶正安神,功效
参芪鸡丝粥,食材构成,大米,A1
参芪鸡丝粥,食材构成,鸡胸肉,B1
参芪鸡丝粥,食材构成,党参,D
参芪鸡丝粥,食材构成,黄芪,D
参芪鸡丝粥,食材构成,清水,D
参芪鸡丝粥,食材构成,盐,D
荷叶瘦肉粥,功效,清热解烦,功效
荷叶瘦肉粥,功效,安神助眠,功效
荷叶瘦肉粥,食材构成,瘦肉,B1
荷叶瘦肉粥,食材构成,大米,A1
荷叶瘦肉粥,食材构成,干荷叶,D
荷叶瘦肉粥,食材构成,清水,D
荷叶瘦肉粥,食材构成,盐,D
五彩蔬菜炒蛋,功效,均衡营养,功效
五彩蔬菜炒蛋,功效,补益身心,功效
五彩蔬菜炒蛋,食材构成,鸡蛋,B2
五彩蔬菜炒蛋,食材构成,胡萝卜,A2
五彩蔬菜炒蛋,食材构成,青椒,A2
五彩蔬菜炒蛋,食材构成,玉米粒,A2
五彩蔬菜炒蛋,食材构成,食用油,D
五彩蔬菜炒蛋,食材构成,盐,D
百合炒猪肝,功效,补血安神,功效
百合炒猪肝,功效,提升注意力,功效
百合炒猪肝,食材构成,猪肝,B1
百合炒猪肝,食材构成,鲜百合,A2
百合炒猪肝,食材构成,食用油,D
百合炒猪肝,食材构成,盐,D
百合炒猪肝,食材构成,生抽,D
百合炒猪肝,食材构成,生粉,D
芦笋虾仁粥,功效,补充蛋白质,功效
芦笋虾仁粥,功效,提神安神,功效
芦笋虾仁粥,食材构成,大米,A1
芦笋虾仁粥,食材构成,虾仁,B3
芦笋虾仁粥,食材构成,芦笋,A2
芦笋虾仁粥,食材构成,清水,D
芦笋虾仁粥,食材构成,盐,D
芦笋虾仁粥,食材构成,料酒,D
黑豆花生猪脚汤,功效,补血益气,功效
黑豆花生猪脚汤,功效,养颜安神,功效
黑豆花生猪脚汤,食材构成,猪脚,B1
黑豆花生猪脚汤,食材构成,黑豆,A1
黑豆花生猪脚汤,食材构成,花生,A3
黑豆花生猪脚汤,食材构成,生姜,D
黑豆花生猪脚汤,食材构成,清水,D
黑豆花生猪脚汤,食材构成,盐,D
莲子绿豆粥,功效,清热解烦,功效
莲子绿豆粥,功效,安心养神,功效
莲子绿豆粥,食材构成,绿豆,A1
莲子绿豆粥,食材构成,干莲子,A3
莲子绿豆粥,食材构成,大米,A1
莲子绿豆粥,食材构成,清水,D
莲子绿豆粥,食材构成,冰糖,D
番茄鸡蛋汤,功效,生津止渴,功效
番茄鸡蛋汤,功效,营养易吸收,功效
番茄鸡蛋汤,食材构成,番茄,A2
番茄鸡蛋汤,食材构成,鸡蛋,B2
番茄鸡蛋汤,食材构成,清水,D
番茄鸡蛋汤,食材构成,盐,D
番茄鸡蛋汤,食材构成,葱花,A2
玫瑰花豆浆,功效,理气解郁,功效
玫瑰花豆浆,功效,舒缓情绪,功效
玫瑰花豆浆,食材构成,干玫瑰花,D
玫瑰花豆浆,食材构成,黄豆,A1
玫瑰花豆浆,食材构成,清水,D
牛蒡排骨汤,功效,补气利湿,功效
牛蒡排骨汤,功效,提神醒脑,功效
牛蒡排骨汤,食材构成,排骨,B1
牛蒡排骨汤,食材构成,牛蒡,A2
牛蒡排骨汤,食材构成,生姜,D
牛蒡排骨汤,食材构成,清水,D
牛蒡排骨汤,食材构成,盐,D
芹菜炒猪肝,功效,补血明目,功效
芹菜炒猪肝,功效,提神安神,功效
芹菜炒猪肝,食材构成,猪肝,B1
芹菜炒猪肝,食材构成,芹菜,A2
芹菜炒猪肝,食材构成,食用油,D
芹菜炒猪肝,食材构成,生抽,D
芹菜炒猪肝,食材构成,盐,D
芹菜炒猪肝,食材构成,生粉,D
西洋参鸡汤,功效,益气生津,功效
西洋参鸡汤,功效,清热安神,功效
西洋参鸡汤,食材构成,鸡腿肉,B1
西洋参鸡汤,食材构成,西洋参片,D
西洋参鸡汤,食材构成,生姜,D
西洋参鸡汤,食材构成,清水,D
西洋参鸡汤,食材构成,盐,D
红豆薏米粥,功效,祛湿健脾,功效
红豆薏米粥,功效,助眠安神,功效
红豆薏米粥,食材构成,红豆,A1
红豆薏米粥,食材构成,薏米,A1
红豆薏米粥,食材构成,清水,D
红豆薏米粥,食材构成,冰糖,D
香菇炖鸡,功效,补虚益气,功效
香菇炖鸡,功效,健脾安神,功效
香菇炖鸡,食材构成,鸡腿肉,B1
香菇炖鸡,食材构成,干香菇,A2
香菇炖鸡,食材构成,生姜,D
香菇炖鸡,食材构成,清水,D
香菇炖鸡,食材构成,盐,D
黄花菜瘦肉汤,功效,清热除烦,功效
黄花菜瘦肉汤,功效,安神镇静,功效
黄花菜瘦肉汤,食材构成,瘦肉,B1
黄花菜瘦肉汤,食材构成,干黄花菜,A2
黄花菜瘦肉汤,食材构成,生姜,D
黄花菜瘦肉汤,食材构成,清水,D
黄花菜瘦肉汤,食材构成,盐,D
竹荪鸡汤,功效,滋阴润燥,功效
竹荪鸡汤,功效,安神养气,功效
竹荪鸡汤,食材构成,鸡腿肉,B1
竹荪鸡汤,食材构成,干竹荪,A2
竹荪鸡汤,食材构成,生姜,D
竹荪鸡汤,食材构成,清水,D
竹荪鸡汤,食材构成,盐,D
莲藕瘦肉汤,功效,清热润肺,功效
莲藕瘦肉汤,功效,安神除烦,功效
莲藕瘦肉汤,食材构成,瘦肉,B1
莲藕瘦肉汤,食材构成,莲藕,A2
莲藕瘦肉汤,食材构成,生姜,D
莲藕瘦肉汤,食材构成,清水,D
莲藕瘦肉汤,食材构成,盐,D
党参枸杞煲羊肉,功效,温补气血,功效
党参枸杞煲羊肉,功效,安神养心,功效
党参枸杞煲羊肉,食材构成,羊肉,B1
党参枸杞煲羊肉,食材构成,党参,D
党参枸杞煲羊肉,食材构成,枸杞,A3
党参枸杞煲羊肉,食材构成,生姜,D
党参枸杞煲羊肉,食材构成,清水,D
党参枸杞煲羊肉,食材构成,盐,D
百合炒西芹,功效,清热安神,功效
百合炒西芹,功效,舒缓情绪,功效
百合炒西芹,食材构成,西芹,A2
百合炒西芹,食材构成,鲜百合,A2
百合炒西芹,食材构成,食用油,D
百合炒西芹,食材构成,盐,D
黑芝麻山药糊,功效,补肾益精,功效
黑芝麻山药糊,功效,安神助眠,功效
黑芝麻山药糊,食材构成,黑芝麻,A3
黑芝麻山药糊,食材构成,山药,A1
黑芝麻山药糊,食材构成,清水,D
黑芝麻山药糊,食材构成,冰糖,D
鱼腥草炒猪肝,功效,清热解毒,功效
鱼腥草炒猪肝,功效,补血安神,功效
鱼腥草炒猪肝,食材构成,猪肝,B1
鱼腥草炒猪肝,食材构成,鱼腥草,A2
鱼腥草炒猪肝,食材构成,食用油,D
鱼腥草炒猪肝,食材构成,生抽,D
鱼腥草炒猪肝,食材构成,盐,D
鱼腥草炒猪肝,食材构成,生粉,D
丹参炖鸡,功效,活血安神,功效
丹参炖鸡,功效,缓解头晕乏力,功效
丹参炖鸡,食材构成,鸡腿肉,B1
丹参炖鸡,食材构成,丹参,D
丹参炖鸡,食材构成,生姜,D
丹参炖鸡,食材构成,清水,D
丹参炖鸡,食材构成,盐,D
木耳莲藕炒肉片,功效,补血健脑,功效
木耳莲藕炒肉片,功效,安神除烦,功效
木耳莲藕炒肉片,食材构成,瘦肉,B1
木耳莲藕炒肉片,食材构成,莲藕,A2
木耳莲藕炒肉片,食材构成,干木耳,A2
木耳莲藕炒肉片,食材构成,食用油,D
木耳莲藕炒肉片,食材构成,盐,D
木耳莲藕炒肉片,食材构成,生粉,D
木耳莲藕炒肉片,食材构成,生抽,D
西洋参炖牛腩,功效,益气养血,功效
西洋参炖牛腩,功效,提神安神,功效
西洋参炖牛腩,食材构成,牛腩,B1
西洋参炖牛腩,食材构成,西洋参片,D
西洋参炖牛腩,食材构成,生姜,D
西洋参炖牛腩,食材构成,清水,D
西洋参炖牛腩,食材构成,盐,D
八宝粥,功效,综合补益,功效
八宝粥,功效,安神健脾,功效
八宝粥,食材构成,大米,A1
八宝粥,食材构成,糯米,A1
八宝粥,食材构成,红豆,A1
八宝粥,食材构成,绿豆,A1
八宝粥,食材构成,花生,A3
八宝粥,食材构成,莲子,A3
八宝粥,食材构成,干百合,A2
八宝粥,食材构成,红枣,A3
八宝粥,食材构成,清水,D
淮山枸杞蒸排骨,功效,补脾养胃,功效
淮山枸杞蒸排骨,功效,安神助眠,功效
淮山枸杞蒸排骨,食材构成,排骨,B1
淮山枸杞蒸排骨,食材构成,淮山（干山药）,A1
淮山枸杞蒸排骨,食材构成,枸杞,A3
淮山枸杞蒸排骨,食材构成,生抽,D
淮山枸杞蒸排骨,食材构成,盐,D
淮山枸杞蒸排骨,食材构成,生粉,D
荞麦面条拌芝麻酱,功效,降脂通便,功效
荞麦面条拌芝麻酱,功效,舒缓情绪,功效
荞麦面条拌芝麻酱,食材构成,荞麦面,A1
荞麦面条拌芝麻酱,食材构成,芝麻酱,D
荞麦面条拌芝麻酱,食材构成,清水,D
荞麦面条拌芝麻酱,食材构成,盐,D
荞麦面条拌芝麻酱,食材构成,葱花,A2
甜杏仁粥,功效,润肺止咳,功效
甜杏仁粥,功效,安神助眠,功效
甜杏仁粥,食材构成,大米,A1
甜杏仁粥,食材构成,甜杏仁,A3
甜杏仁粥,食材构成,清水,D
甜杏仁粥,食材构成,冰糖,D
鲜百合蒸南瓜,功效,滋阴润燥,功效
鲜百合蒸南瓜,功效,安神解郁,功效
鲜百合蒸南瓜,食材构成,南瓜,A2
鲜百合蒸南瓜,食材构成,鲜百合,A2
鲜百合蒸南瓜,食材构成,蜂蜜,D
黑木耳炒鸡蛋,功效,补血活血,功效
黑木耳炒鸡蛋,功效,养心安神,功效
黑木耳炒鸡蛋,食材构成,干黑木耳,A2
黑木耳炒鸡蛋,食材构成,鸡蛋,B2
黑木耳炒鸡蛋,食材构成,食用油,D
黑木耳炒鸡蛋,食材构成,盐,D
党参鸡蛋羹,功效,补中益气,功效
党参鸡蛋羹,功效,安神养心,功效
党参鸡蛋羹,食材构成,鸡蛋,B2
党参鸡蛋羹,食材构成,党参,D
党参鸡蛋羹,食材构成,温水,D
党参鸡蛋羹,食材构成,盐,D
枸杞蒸鱼片,功效,养肝补肾,功效
枸杞蒸鱼片,功效,益智安神,功效
枸杞蒸鱼片,食材构成,鱼片,B3
枸杞蒸鱼片,食材构成,枸杞,A3
枸杞蒸鱼片,食材构成,生抽,D
枸杞蒸鱼片,食材构成,盐,D
枸杞蒸鱼片,食材构成,生姜丝,D
虫草花炖鸡汤,功效,补肺益肾,功效
虫草花炖鸡汤,功效,安神定心,功效
虫草花炖鸡汤,食材构成,鸡腿肉,B1
虫草花炖鸡汤,食材构成,虫草花,D
虫草花炖鸡汤,食材构成,生姜,D
虫草花炖鸡汤,食材构成,清水,D
虫草花炖鸡汤,食材构成,盐,D
白果芋头煲,功效,益气健脾,功效
白果芋头煲,功效,安神除烦,功效
白果芋头煲,食材构成,芋头,A2
白果芋头煲,食材构成,白果,A3
白果芋头煲,食材构成,清水,D
白果芋头煲,食材构成,盐,D
萝卜丝鲫鱼汤,功效,健脾开胃,功效
萝卜丝鲫鱼汤,功效,清热安神,功效
萝卜丝鲫鱼汤,食材构成,鲫鱼,B3
萝卜丝鲫鱼汤,食材构成,白萝卜,A2
萝卜丝鲫鱼汤,食材构成,姜片,D
萝卜丝鲫鱼汤,食材构成,清水,D
萝卜丝鲫鱼汤,食材构成,盐,D
萝卜丝鲫鱼汤,食材构成,食用油,D
黄芪炖羊排,功效,补气固表,功效
黄芪炖羊排,功效,温中安神,功效
黄芪炖羊排,食材构成,羊排,B1
黄芪炖羊排,食材构成,黄芪,D
黄芪炖羊排,食材构成,生姜,D
黄芪炖羊排,食材构成,清水,D
黄芪炖羊排,食材构成,盐,D
豆苗百合炒虾仁,功效,清热润燥,功效
豆苗百合炒虾仁,功效,安神助眠,功效
豆苗百合炒虾仁,食材构成,虾仁,B3
豆苗百合炒虾仁,食材构成,豆苗,A2
豆苗百合炒虾仁,食材构成,鲜百合,A2
豆苗百合炒虾仁,食材构成,食用油,D
豆苗百合炒虾仁,食材构成,盐,D
豆苗百合炒虾仁,食材构成,料酒,D
芦根粥,功效,清热除烦,功效
芦根粥,功效,生津安神,功效
芦根粥,食材构成,大米,A1
芦根粥,食材构成,干芦根,D
芦根粥,食材构成,清水,D
芦根粥,食材构成,冰糖,D
紫菜蛋花汤,功效,补碘养血,功效
紫菜蛋花汤,功效,安神开胃,功效
紫菜蛋花汤,食材构成,紫菜,A2
紫菜蛋花汤,食材构成,鸡蛋,B2
紫菜蛋花汤,食材构成,清水,D
紫菜蛋花汤,食材构成,盐,D
紫菜蛋花汤,食材构成,香油,D
萝卜牛腩汤,功效,消食化滞,功效
萝卜牛腩汤,功效,补中安神,功效
萝卜牛腩汤,食材构成,牛腩,B1
萝卜牛腩汤,食材构成,白萝卜,A2
萝卜牛腩汤,食材构成,生姜,D
萝卜牛腩汤,食材构成,清水,D
萝卜牛腩汤,食材构成,盐,D
淡菜豆腐汤,功效,补肾滋阴,功效
淡菜豆腐汤,功效,安神健脑,功效
淡菜豆腐汤,食材构成,淡菜（干）,B3
淡菜豆腐汤,食材构成,豆腐,A1
淡菜豆腐汤,食材构成,清水,D
淡菜豆腐汤,食材构成,姜片,D
淡菜豆腐汤,食材构成,盐,D
黄豆猪蹄汤,功效,补血养颜,功效
黄豆猪蹄汤,功效,安神润燥,功效
黄豆猪蹄汤,食材构成,猪蹄,B1
黄豆猪蹄汤,食材构成,黄豆,A1
黄豆猪蹄汤,食材构成,姜片,D
黄豆猪蹄汤,食材构成,清水,D
黄豆猪蹄汤,食材构成,盐,D
糖醋莲藕片,功效,清热除烦,功效
糖醋莲藕片,功效,生津安神,功效
糖醋莲藕片,食材构成,莲藕,A2
糖醋莲藕片,食材构成,白醋,D
糖醋莲藕片,食材构成,白糖,D
糖醋莲藕片,食材构成,盐,D
糖醋莲藕片,食材构成,食用油,D
香菇鸡蛋羹,功效,补脾健胃,功效
香菇鸡蛋羹,功效,安神宁心,功效
香菇鸡蛋羹,食材构成,鸡蛋,B2
香菇鸡蛋羹,食材构成,干香菇,A2
香菇鸡蛋羹,食材构成,温水,D
香菇鸡蛋羹,食材构成,盐,D
南瓜百合羹,功效,润燥安神,功效
南瓜百合羹,功效,补中益气,功效
南瓜百合羹,食材构成,南瓜,A2
南瓜百合羹,食材构成,干百合,A2
南瓜百合羹,食材构成,清水,D
南瓜百合羹,食材构成,冰糖,D
菊花鱼片汤,功效,清热平肝,功效
菊花鱼片汤,功效,安神散风,功效
菊花鱼片汤,食材构成,鱼片,B3
菊花鱼片汤,食材构成,干菊花,D
菊花鱼片汤,食材构成,姜丝,D
菊花鱼片汤,食材构成,清水,D
菊花鱼片汤,食材构成,盐,D
田七炖鸡,功效,活血止痛,功效
田七炖鸡,功效,宁心安神,功效
田七炖鸡,食材构成,鸡腿肉,B1
田七炖鸡,食材构成,田七,D
田七炖鸡,食材构成,生姜,D
田七炖鸡,食材构成,清水,D
田七炖鸡,食材构成,盐,D
胡萝卜炒鸡蛋,功效,补气血,功效
胡萝卜炒鸡蛋,功效,滋养大脑,功效
胡萝卜炒鸡蛋,食材构成,胡萝卜,A2
胡萝卜炒鸡蛋,食材构成,鸡蛋,B2
胡萝卜炒鸡蛋,食材构成,食用油,D
胡萝卜炒鸡蛋,食材构成,盐,D
莲子鸡汤面,功效,补脾胃,功效
莲子鸡汤面,功效,养心安神,功效
莲子鸡汤面,食材构成,面条,A1
莲子鸡汤面,食材构成,鸡胸肉,B1
莲子鸡汤面,食材构成,干莲子,A3
莲子鸡汤面,食材构成,生姜,D
莲子鸡汤面,食材构成,清水,D
莲子鸡汤面,食材构成,盐,D
百合炖雪梨,功效,润肺止咳,功效
百合炖雪梨,功效,宁心安神,功效
百合炖雪梨,食材构成,雪梨,A3
百合炖雪梨,食材构成,干百合,A2
百合炖雪梨,食材构成,冰糖,D
百合炖雪梨,食材构成,清水,D
鲫鱼豆腐汤,功效,健脾开胃,功效
鲫鱼豆腐汤,功效,安神补虚,功效
鲫鱼豆腐汤,食材构成,鲫鱼,B3
鲫鱼豆腐汤,食材构成,豆腐,A1
鲫鱼豆腐汤,食材构成,姜片,D
鲫鱼豆腐汤,食材构成,清水,D
鲫鱼豆腐汤,食材构成,盐,D
鲫鱼豆腐汤,食材构成,食用油,D
荷叶糯米鸡,功效,健脾止泻,功效
荷叶糯米鸡,功效,安神助眠,功效
荷叶糯米鸡,食材构成,鸡腿肉,B1
荷叶糯米鸡,食材构成,糯米,A1
荷叶糯米鸡,食材构成,干荷叶,D
荷叶糯米鸡,食材构成,生抽,D
荷叶糯米鸡,食材构成,盐,D
荷叶糯米鸡,食材构成,生粉,D
山药百合粥,功效,补脾益肺,功效
山药百合粥,功效,安神除烦,功效
山药百合粥,食材构成,大米,A1
山药百合粥,食材构成,山药,A1
山药百合粥,食材构成,干百合,A2
山药百合粥,食材构成,清水,D
蜂蜜柠檬水,功效,清热解郁,功效
蜂蜜柠檬水,功效,提神醒脑,功效
蜂蜜柠檬水,食材构成,柠檬,A3
蜂蜜柠檬水,食材构成,蜂蜜,D
蜂蜜柠檬水,食材构成,温水,D
芋头排骨煲,功效,健脾补中,功效
芋头排骨煲,功效,安神助眠,功效
芋头排骨煲,食材构成,排骨,B1
芋头排骨煲,食材构成,芋头,A2
芋头排骨煲,食材构成,生姜,D
芋头排骨煲,食材构成,清水,D
芋头排骨煲,食材构成,盐,D
青笋炒木耳,功效,清热利湿,功效
青笋炒木耳,功效,安神除烦,功效
青笋炒木耳,食材构成,青笋,A2
青笋炒木耳,食材构成,干木耳,A2
青笋炒木耳,食材构成,食用油,D
青笋炒木耳,食材构成,盐,D
青笋炒木耳,食材构成,生抽,D
青菜蛋汤面,功效,补充能量,功效
青菜蛋汤面,功效,舒缓疲劳,功效
青菜蛋汤面,食材构成,面条,A1
青菜蛋汤面,食材构成,青菜,A2
青菜蛋汤面,食材构成,鸡蛋,B2
青菜蛋汤面,食材构成,清水,D
青菜蛋汤面,食材构成,盐,D
小米枸杞山药羹,功效,健脾补虚,功效
小米枸杞山药羹,功效,安神助眠,功效
小米枸杞山药羹,食材构成,小米,A1
小米枸杞山药羹,食材构成,山药,A1
小米枸杞山药羹,食材构成,枸杞,A3
小米枸杞山药羹,食材构成,清水,D
黄瓜拌木耳,功效,清热利水,功效
黄瓜拌木耳,功效,宁心解郁,功效
黄瓜拌木耳,食材构成,黄瓜,A2
黄瓜拌木耳,食材构成,干木耳,A2
黄瓜拌木耳,食材构成,生抽,D
黄瓜拌木耳,食材构成,香油,D
黄瓜拌木耳,食材构成,盐,D
黄芪红枣乌鸡汤,功效,补气养血,功效
黄芪红枣乌鸡汤,功效,安神助眠,功效
黄芪红枣乌鸡汤,食材构成,乌鸡,B1
黄芪红枣乌鸡汤,食材构成,黄芪,D
黄芪红枣乌鸡汤,食材构成,红枣,A3
黄芪红枣乌鸡汤,食材构成,生姜,D
黄芪红枣乌鸡汤,食材构成,清水,D
黄芪红枣乌鸡汤,食材构成,盐,D
莲子桂圆蒸蛋,功效,补血宁神,功效
莲子桂圆蒸蛋,功效,养心除烦,功效
莲子桂圆蒸蛋,食材构成,鸡蛋,B2
莲子桂圆蒸蛋,食材构成,干莲子,A3
莲子桂圆蒸蛋,食材构成,桂圆干,A3
莲子桂圆蒸蛋,食材构成,温水,D
莲子桂圆蒸蛋,食材构成,盐,D
粳米山药粥,功效,健脾补肺,功效
粳米山药粥,功效,安神助睡,功效
粳米山药粥,食材构成,粳米,A1
粳米山药粥,食材构成,山药,A1
粳米山药粥,食材构成,清水,D
粳米山药粥,食材构成,盐,D
枸杞炒茄子,功效,清热解郁,功效
